Type	base	uri	Desc
> type	base	uri	description
	str		A character string
	int		An integer
	Bool		A binary (true or false) value
	float		A real number that conforms to the xsd:float specification
	float		A real number that conforms to the xsd:double specification
	Decimal		A real number with arbitrary precision that conforms to the xsd:decimal specification
	XSDTime		A time object represents a (local) time of day, independent of any particular day
	XSDDate		a date (year, month and day) in an idealized calendar
	XSDDateTime		The combination of a date and time
	str		Either a date or a datetime
	URIorCURIE		a URI or a CURIE
	URI		a complete URI
	NCName		Prefix part of CURIE
	ElementIdentifier		A URI or CURIE that represents an object in the model.
	NodeIdentifier		A URI, CURIE or BNODE that represents a node in a model.
